nickname,age_group,gender,companion,역사,자연,체험,맛집,사진스팟,휴식
이용자01,10대,응답안함,혼자,1,2,4,2,5,3
이용자02,10대,남,친구,1,2,4,3,5,2
이용자03,10대,남,가족,1,3,5,2,4,2
이용자04,20대,응답안함,혼자,2,2,2,4,5,2
이용자05,20대,여,친구,2,2,2,5,5,1
이용자06,20대,남,가족,2,3,3,4,4,1
이용자07,30대,남,혼자,2,3,3,3,3,3
이용자08,30대,남,친구,2,3,3,4,3,2
이용자09,30대,응답안함,가족,2,4,4,3,2,2
이용자10,40대이상,남,혼자,4,2,2,2,2,5
이용자11,40대이상,응답안함,친구,4,2,2,3,2,4
이용자12,40대이상,응답안함,가족,4,3,3,2,1,4
이용자13,10대,응답안함,혼자,1,2,4,2,5,3
이용자14,10대,남,친구,1,2,4,3,5,2
이용자15,10대,응답안함,가족,1,3,5,2,4,2
이용자16,20대,여,혼자,2,2,2,4,5,2
이용자17,20대,남,친구,2,2,2,5,5,1
이용자18,20대,남,가족,2,3,3,4,4,1
이용자19,30대,남,혼자,2,3,3,3,3,3
이용자20,30대,남,친구,2,3,3,4,3,2
이용자21,30대,남,가족,2,4,4,3,2,2
이용자22,40대이상,응답안함,혼자,4,2,2,2,2,5
이용자23,40대이상,응답안함,친구,4,2,2,3,2,4
이용자24,40대이상,남,가족,4,3,3,2,1,4
이용자25,10대,응답안함,혼자,1,2,4,2,5,3
이용자26,10대,남,친구,1,2,4,3,5,2
이용자27,10대,응답안함,가족,1,3,5,2,4,2
이용자28,20대,응답안함,혼자,2,2,2,4,5,2
이용자29,20대,응답안함,친구,2,2,2,5,5,1
이용자30,20대,응답안함,가족,2,3,3,4,4,1
이용자31,30대,여,혼자,2,3,3,3,3,3
이용자32,30대,남,친구,2,3,3,4,3,2
이용자33,30대,여,가족,2,4,4,3,2,2
이용자34,40대이상,응답안함,혼자,4,2,2,2,2,5
이용자35,40대이상,여,친구,4,2,2,3,2,4
이용자36,40대이상,남,가족,4,3,3,2,1,4
이용자37,10대,남,혼자,1,2,4,2,5,3
이용자38,10대,응답안함,친구,1,2,4,3,5,2
이용자39,10대,여,가족,1,3,5,2,4,2
이용자40,20대,여,혼자,2,2,2,4,5,2
이용자41,20대,여,친구,2,2,2,5,5,1
이용자42,20대,남,가족,2,3,3,4,4,1
이용자43,30대,남,혼자,2,3,3,3,3,3
이용자44,30대,여,친구,2,3,3,4,3,2
이용자45,30대,남,가족,2,4,4,3,2,2
이용자46,40대이상,남,혼자,4,2,2,2,2,5
이용자47,40대이상,여,친구,4,2,2,3,2,4
이용자48,40대이상,남,가족,4,3,3,2,1,4
이용자49,10대,여,혼자,1,2,4,2,5,3
이용자50,10대,여,친구,1,2,4,3,5,2
