nickname,spot_name,score
이용자01,계룡산상신농촌체험휴양마을,4
이용자01,공주산성시장,3
이용자01,임립미술관,5
이용자01,공주산성시장문화공원,4
이용자01,계룡저수지,4
이용자01,국립공주박물관,3
이용자02,이미정갤러리,3
이용자02,공주무령왕릉과왕릉원,2
이용자02,천주교황새바위순교성지,2
이용자02,유구색동수국정원,4
이용자02,석장리박물관,3
이용자02,신원사,2
이용자03,계룡저수지,4
이용자03,동학사,3
이용자03,공주한옥마을,4
이용자03,베이커리밤마을,3
이용자03,개성집공주점,3
이용자03,국립공주박물관,3
이용자04,계룡저수지,2
이용자04,곡물집,4
이용자04,임립미술관,3
이용자04,공주목재문화체험장,3
이용자04,고마나루1999,4
이용자04,공주한옥마을,4
이용자05,국립공주박물관,3
이용자05,베이커리밤마을,5
이용자05,계룡산상신농촌체험휴양마을,3
이용자05,공주산성시장,4
이용자05,동학사,3
이용자05,개성집공주점,5
이용자06,동학사,3
이용자06,계룡산상신농촌체험휴양마을,3
이용자06,천주교황새바위순교성지,2
이용자06,아트센터고마,4
이용자06,공주산성시장,4
이용자06,공주산림휴양마을,2
이용자07,이미정갤러리,4
이용자07,고마나루1999,2
이용자07,충청남도역사박물관,3
이용자07,마곡사,3
이용자07,공산성본가,4
이용자07,공주산성시장문화공원,3
이용자08,공주목재문화체험장,4
이용자08,곡물집,3
이용자08,고마나루1999,4
이용자08,공산성,2
이용자08,베이커리밤마을,4
이용자08,충청남도역사박물관,3
이용자09,충청남도역사박물관,4
이용자09,공산성,2
이용자09,임립미술관,3
이용자09,아트센터고마,4
이용자09,계룡산상신농촌체험휴양마을,5
이용자09,동학사,3
이용자10,충청남도역사박물관,5
이용자10,임립미술관,4
이용자10,고마나루솔밭,3
이용자10,이미정갤러리,3
이용자10,계룡산상신농촌체험휴양마을,2
이용자10,공산성,3
이용자11,고마나루1999,2
이용자11,공주산성시장,3
이용자11,동학사,2
이용자11,공주무령왕릉과왕릉원,5
이용자11,임립미술관,3
이용자11,석장리박물관,3
이용자12,공주목재문화체험장,3
이용자12,공산성본가,4
이용자12,석장리박물관,4
이용자12,계룡저수지,4
이용자12,공주산성시장,3
이용자12,공주산성시장문화공원,3
이용자13,공주산림휴양마을,4
이용자13,공주목재문화체험장,5
이용자13,석장리박물관,3
이용자13,천주교황새바위순교성지,4
이용자13,계룡저수지,3
이용자13,공산성,2
이용자14,국립공주박물관,4
이용자14,임립미술관,4
이용자14,공주한옥마을,3
이용자14,베이커리밤마을,4
이용자14,계룡저수지,3
이용자14,석장리박물관,4
이용자15,충청남도역사박물관,2
이용자15,베이커리밤마을,2
이용자15,공주목재문화체험장,4
이용자15,공주산림휴양마을,3
이용자15,계룡산상신농촌체험휴양마을,4
이용자15,공주산성시장문화공원,3
이용자16,고마나루솔밭,2
이용자16,공산성본가,4
이용자16,공주무령왕릉과왕릉원,3
이용자16,임립미술관,3
이용자16,개성집공주점,4
이용자16,충청남도역사박물관,3
이용자17,갑사,3
이용자17,공주산성시장문화공원,4
이용자17,공주산림휴양마을,1
이용자17,공주한옥마을,3
이용자17,신원사,3
이용자17,국립공주박물관,2
이용자18,곡물집,3
이용자18,공산성본가,3
이용자18,개성집공주점,4
이용자18,충청남도역사박물관,3
이용자18,공주목재문화체험장,2
이용자18,동학사,3
이용자19,신원사,3
이용자19,공주산성시장,3
이용자19,고마나루솔밭,3
이용자19,계룡저수지,3
이용자19,곡물집,3
이용자19,임립미술관,2
이용자20,계룡산상신농촌체험휴양마을,4
이용자20,공주목재문화체험장,4
이용자20,개성집공주점,4
이용자20,공주무령왕릉과왕릉원,2
이용자20,이미정갤러리,4
이용자20,대장이랜드중장농촌체험휴양마을,2
이용자21,개성집공주점,4
이용자21,국립공주박물관,3
이용자21,석장리박물관,4
이용자21,고마나루1999,4
이용자21,공주산림휴양마을,2
이용자21,마곡사,4
이용자22,국립공주박물관,3
이용자22,공주목재문화체험장,3
이용자22,공주산림휴양마을,4
이용자22,신원사,5
이용자22,공주한옥마을,3
이용자22,동학사,3
이용자23,유구색동수국정원,2
이용자23,공산성본가,2
이용자23,베이커리밤마을,4
이용자23,공산성,3
이용자23,이미정갤러리,4
이용자23,임립미술관,3
이용자24,석장리박물관,4
이용자24,신원사,5
이용자24,공주무령왕릉과왕릉원,4
이용자24,동학사,5
이용자24,고마나루솔밭,4
이용자24,천주교황새바위순교성지,3
이용자25,아트센터고마,3
이용자25,공주목재문화체험장,3
이용자25,베이커리밤마을,5
이용자25,석장리박물관,3
이용자25,마곡사,3
이용자25,천주교황새바위순교성지,3
이용자26,아트센터고마,3
이용자26,이미정갤러리,4
이용자26,동학사,1
이용자26,계룡산상신농촌체험휴양마을,2
이용자26,천주교황새바위순교성지,2
이용자26,대장이랜드중장농촌체험휴양마을,3
이용자27,공주무령왕릉과왕릉원,2
이용자27,유구색동수국정원,5
이용자27,충청남도역사박물관,2
이용자27,곡물집,4
이용자27,동학사,2
이용자27,베이커리밤마을,2
이용자28,국립공주박물관,4
이용자28,공산성본가,4
이용자28,베이커리밤마을,5
이용자28,공주산성시장문화공원,4
이용자28,계룡저수지,2
이용자28,임립미술관,4
이용자29,계룡저수지,2
이용자29,베이커리밤마을,4
이용자29,곡물집,4
이용자29,공산성,4
이용자29,고마나루솔밭,3
이용자29,동학사,4
이용자30,공주산성시장,3
이용자30,베이커리밤마을,4
이용자30,갑사,3
이용자30,충청남도역사박물관,3
이용자30,동학사,3
이용자30,공주산성시장문화공원,3
이용자31,마곡사,3
이용자31,임립미술관,3
이용자31,계룡저수지,3
이용자31,공주무령왕릉과왕릉원,3
이용자31,계룡산상신농촌체험휴양마을,3
이용자31,천주교황새바위순교성지,3
이용자32,공산성,4
이용자32,동학사,3
이용자32,계룡저수지,4
이용자32,공산성본가,4
이용자32,공주한옥마을,2
이용자32,공주산림휴양마을,2
이용자33,고마나루1999,4
이용자33,동학사,3
이용자33,공주목재문화체험장,4
이용자33,곡물집,3
이용자33,공주무령왕릉과왕릉원,3
이용자33,석장리박물관,4
이용자34,곡물집,3
이용자34,국립공주박물관,2
이용자34,개성집공주점,4
이용자34,마곡사,5
이용자34,공주무령왕릉과왕릉원,4
이용자34,공산성본가,3
이용자35,공주한옥마을,3
이용자35,베이커리밤마을,4
이용자35,고마나루1999,3
이용자35,공주산성시장문화공원,3
이용자35,개성집공주점,3
이용자35,석장리박물관,3
이용자36,대장이랜드중장농촌체험휴양마을,3
이용자36,계룡저수지,5
이용자36,충청남도역사박물관,5
이용자36,공주목재문화체험장,3
이용자36,공주산림휴양마을,4
이용자36,공산성본가,4
이용자37,개성집공주점,3
이용자37,유구색동수국정원,4
이용자37,동학사,2
이용자37,이미정갤러리,4
이용자37,공주산성시장,3
이용자37,고마나루1999,4
이용자38,공주목재문화체험장,5
이용자38,베이커리밤마을,5
이용자38,공주산성시장,4
이용자38,마곡사,1
이용자38,국립공주박물관,3
이용자38,공주한옥마을,3
이용자39,신원사,1
이용자39,갑사,3
이용자39,공산성,3
이용자39,유구색동수국정원,5
이용자39,아트센터고마,4
이용자39,개성집공주점,3
이용자40,공주산성시장문화공원,4
이용자40,신원사,3
이용자40,이미정갤러리,5
이용자40,공산성,3
이용자40,충청남도역사박물관,2
이용자40,공주목재문화체험장,4
이용자41,천주교황새바위순교성지,3
이용자41,공산성본가,5
이용자41,공주산성시장문화공원,3
이용자41,고마나루1999,5
이용자41,개성집공주점,5
이용자41,계룡산상신농촌체험휴양마을,4
이용자42,고마나루솔밭,3
이용자42,베이커리밤마을,4
이용자42,공주산림휴양마을,3
이용자42,충청남도역사박물관,4
이용자42,계룡산상신농촌체험휴양마을,3
이용자42,대장이랜드중장농촌체험휴양마을,3
이용자43,신원사,2
이용자43,국립공주박물관,3
이용자43,공주한옥마을,3
이용자43,천주교황새바위순교성지,3
이용자43,공주산림휴양마을,3
이용자43,이미정갤러리,3
이용자44,이미정갤러리,3
이용자44,국립공주박물관,3
이용자44,고마나루솔밭,3
이용자44,대장이랜드중장농촌체험휴양마을,4
이용자44,공주산성시장문화공원,2
이용자44,공주무령왕릉과왕릉원,4
이용자45,유구색동수국정원,4
이용자45,공산성,4
이용자45,계룡저수지,3
이용자45,공주산성시장,4
이용자45,공주목재문화체험장,4
이용자45,임립미술관,3
이용자46,공주한옥마을,3
이용자46,공산성,3
이용자46,신원사,5
이용자46,아트센터고마,5
이용자46,공주산성시장문화공원,5
이용자46,곡물집,2
이용자47,공산성본가,3
이용자47,공주산림휴양마을,3
