name,lon,lat
공산성,127.1260110,36.4632237
공주무령왕릉과왕릉원,127.1144131,36.4630908
국립공주박물관,127.1123031,36.4655934
석장리박물관,127.1889636,36.4477636
충청남도역사박물관,127.1266077,36.4537630
마곡사,127.0120163,36.5588933
갑사,127.1861223,36.3656549
동학사,127.2190758,36.3533309
신원사,127.1839615,36.3357096
천주교황새바위순교성지,127.1200687,36.4638739
공주한옥마을,127.1085301,36.4645968
유구색동수국정원,126.9543887,36.5554890
계룡저수지,127.1529679,36.3581031
고마나루솔밭,127.1014004,36.4615026
공주산림휴양마을,127.1190677,36.4234616
공주산성시장문화공원,127.1229158,36.4570503
공주목재문화체험장,127.1204127,36.4220185
대장이랜드중장농촌체험휴양마을,127.1650303,36.3686501
계룡산상신농촌체험휴양마을,127.2200689,36.3844632
아트센터고마,127.1074328,36.4666736
임립미술관,127.1406196,36.3964545
이미정갤러리,127.1225874,36.4527243
대통길작은미술관,127.1224030,36.4531050
자연미술관Ko,127.1236778,36.4536085
공주산성시장,127.1236341,36.4575705
개성집공주점,127.1225050,36.4635339
고마나루1999,127.1227318,36.4649789
공산성본가,127.1221439,36.4639695
베이커리밤마을,127.1230132,36.4647566
곡물집,127.1195048,36.4496510
